staff-spotlight-jill-larson,https://ceid.utsa.edu/staff-spotlight-jill-larson/
a-new-50-year-vision-for-san-antonios-downtown,https://ceid.utsa.edu/a-new-50-year-vision-for-san-antonios-downtown/
combs-receives-usaf-grant-to-study-effects-of-hypersonic-shock-waves,https://ceid.utsa.edu/combs-receives-usaf-grant-to-study-effects-of-hypersonic-shock-waves/
engineering-to-host-nasa-expert-to-shed-light-on-mars,https://ceid.utsa.edu/engineering-to-host-nasa-expert-to-shed-light-on-mars/
csm-mock-interview-and-resume-builder-workshop,https://ceid.utsa.edu/csm-mock-interview-and-resume-builder-workshop/
college-of-engineering-welcomes-key-new-faculty-2,https://ceid.utsa.edu/college-of-engineering-welcomes-key-new-faculty-2/
national-academy-member-sergio-alcocer-joins-college-of-engineering,https://ceid.utsa.edu/national-academy-member-sergio-alcocer-joins-college-of-engineering/
utsa-civil-engineering-ranks-among-nations-most-affordable-programs,https://ceid.utsa.edu/utsa-civil-engineering-ranks-among-nations-most-affordable-programs/
utsa-cacp-speaker-series-march-2-with-alex-krieger-faia-of-the-harvard-gsd-and-nbbj,https://ceid.utsa.edu/utsa-cacp-speaker-series-march-2-with-alex-krieger-faia-of-the-harvard-gsd-and-nbbj/
faculty-spotlight-christopher-rathbone,https://ceid.utsa.edu/faculty-spotlight-christopher-rathbone/
staff-spotlight-maria-alvarez,https://ceid.utsa.edu/staff-spotlight-maria-alvarez/
new-employee-henry-griffith,https://ceid.utsa.edu/new-employee-henry-griffith/
2020-eweek-lab-exhibit-winner,https://ceid.utsa.edu/2020-eweek-lab-exhibit-winner/
bizios-elected-to-the-prestigious-academy-of-athens,https://ceid.utsa.edu/bizios-elected-to-the-prestigious-academy-of-athens/
guido-construction-city-of-san-antonio-educating-future-leaders-of-the-construction-industry,https://ceid.utsa.edu/guido-construction-city-of-san-antonio-educating-future-leaders-of-the-construction-industry/
engineering-team-takes-first-in-steel-bridge-competition,https://ceid.utsa.edu/engineering-team-takes-first-in-steel-bridge-competition/
faculty-spotlight-yufei-huang,https://ceid.utsa.edu/faculty-spotlight-yufei-huang/
staff-spotlight-carlos-velez,https://ceid.utsa.edu/staff-spotlight-carlos-velez/
two-honors-college-juniors-receive-prestigious-goldwater-scholarship,https://ceid.utsa.edu/two-honors-college-juniors-receive-prestigious-goldwater-scholarship/
utsa-cacps-david-matiella-sue-ann-pemberton-each-receive-university-excellence-award,https://ceid.utsa.edu/utsa-cacps-david-matiella-sue-ann-pemberton-each-receive-university-excellence-award/
utsa-coes-eugene-john-and-xiaodu-wang-each-receive-university-excellence-awards,https://ceid.utsa.edu/utsa-coes-eugene-john-and-xiaodu-wang-each-receive-university-excellence-awards/
engineering-student-shine-at-the-university-life-awards,https://ceid.utsa.edu/engineering-student-shine-at-the-university-life-awards/
utsa-cacp-alumni-brian-korte-94-bfa-arch-elevated-to-the-2020-aia-college-of-fellows,https://ceid.utsa.edu/utsa-cacp-alumni-brian-korte-94-bfa-arch-elevated-to-the-2020-aia-college-of-fellows/
utsa-urban-planning-student-association-wins-national-award,https://ceid.utsa.edu/utsa-urban-planning-student-association-wins-national-award/
faculty-spotlight-manuel-diaz,https://ceid.utsa.edu/faculty-spotlight-manuel-diaz/
staff-spotlight-amy-ossola-phillips,https://ceid.utsa.edu/staff-spotlight-amy-ossola-phillips/
apwa-south-central-branch-james-bader-scholarship,https://ceid.utsa.edu/apwa-south-central-branch-james-bader-scholarship/
knowledge-enterprise-awards-funding-for-transdisciplinary-research,https://ceid.utsa.edu/knowledge-enterprise-awards-funding-for-transdisciplinary-research/
for-covid-19-patients-engineering-researchers-develop-a-better-way-to-vent,https://ceid.utsa.edu/for-covid-19-patients-engineering-researchers-develop-a-better-way-to-vent/
2020-utsa-department-of-architecture-design-awards,https://ceid.utsa.edu/2020-utsa-department-of-architecture-design-awards/
five-roadrunner-scholars-honored-with-nsf-fellowships,https://ceid.utsa.edu/five-roadrunner-scholars-honored-with-nsf-fellowships/
utsa-mechanical-engineers-adapt-labs-for-a-new-world,https://ceid.utsa.edu/utsa-mechanical-engineers-adapt-labs-for-a-new-world/
staff-spotlight-ben-campos,https://ceid.utsa.edu/staff-spotlight-ben-campos/
faculty-spotlight-drew-johnson,https://ceid.utsa.edu/faculty-spotlight-drew-johnson/
roadrunners-you-should-know-student-demonstrating-leadership-during-first-year-at-utsa,https://ceid.utsa.edu/roadrunners-you-should-know-student-demonstrating-leadership-during-first-year-at-utsa/
dual-degree-programs-in-architecture-urban-planning-slated-for-fall,https://ceid.utsa.edu/dual-degree-programs-in-architecture-urban-planning-slated-for-fall/
equity-advocacy-initiative,https://ceid.utsa.edu/equity-advocacy-initiative/
nasa-looks-to-utsa-to-help-expand-field-of-stem-researchers,https://ceid.utsa.edu/nasa-looks-to-utsa-to-help-expand-field-of-stem-researchers/
landreth-memorial,https://ceid.utsa.edu/landreth-memorial/
open-position-at-utsa-assistant-associate-professor-in-data-science-and-human-performance,https://ceid.utsa.edu/open-position-at-utsa-assistant-associate-professor-in-data-science-and-human-performance/
tuesday-april-20-2021-join-the-virtual-awards-ceremony-for-the-dee-howard-foundation-and-utsa-art-contest,https://ceid.utsa.edu/tuesday-april-20-2021-join-the-virtual-awards-ceremony-for-the-dee-howard-foundation-and-utsa-art-contest/
temporary-suspension-of-gre-and-gmat-scores-as-admissions-criteria,https://ceid.utsa.edu/temporary-suspension-of-gre-and-gmat-scores-as-admissions-criteria/
save-the-date-utsa-tech-symposium-2021-virtual-showcase-on-friday-april-30,https://ceid.utsa.edu/save-the-date-utsa-tech-symposium-2021-virtual-showcase-on-friday-april-30/
engineering-students-place-second-in-bridge-construction-competition-5,https://ceid.utsa.edu/engineering-students-place-second-in-bridge-construction-competition-5/
tech-symposium-highlights-student-innovation,https://ceid.utsa.edu/tech-symposium-highlights-student-innovation/
utsas-national-society-of-black-engineers-chapter-receives-national-award,https://ceid.utsa.edu/utsas-national-society-of-black-engineers-chapter-receives-national-award/
engineering-alumnus-secures-25000-investment,https://ceid.utsa.edu/engineering-alumnus-secures-25000-investment/
cacp-celebrates-student-achievements-at-commencement,https://ceid.utsa.edu/cacp-celebrates-student-achievements-at-commencement/
